Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XMR,2019-01-07,52.5063393231,54.4175811682,55.0412907744,51.6176078227
XMR,2019-01-08,52.7733578086,52.5063425127,54.5694831009,51.7743638584
XMR,2019-01-09,52.0391961444,52.6217515006,53.9085474763,51.146917191
XMR,2019-01-10,44.4822328523,52.0393164166,52.6613892344,43.5919985709
XMR,2019-01-11,45.1353376449,44.4816687697,46.2484722604,44.2970278978
XMR,2019-01-12,44.7281814469,45.1766138285,45.5667739365,44.211875928
XMR,2019-01-13,43.1769144833,44.7624677041,45.2462434277,42.2874453035
XMR,2019-01-14,45.2166249369,43.1770253946,45.9414549009,42.7299449715
XMR,2019-01-15,44.2815728947,45.2167740464,46.0270593548,43.9831690407
XMR,2019-01-16,45.556832003,44.2815938622,45.6465123594,44.2060035732
XMR,2019-01-17,44.9418562246,45.8254980484,46.0902756082,44.1652809094
XMR,2019-01-18,44.6273747329,44.9419317625,45.3305048877,43.9909989851
XMR,2019-01-19,45.5754306157,44.6272690419,45.9178038827,44.4583534528
XMR,2019-01-20,43.7729238689,45.5222629105,45.663866614,43.2058311446
XMR,2019-01-21,43.4696601962,43.7730988903,44.5724673176,43.198944131
XMR,2019-01-22,45.401761307,43.4682160568,45.9252746239,43.4669290367
XMR,2019-01-23,44.3238880708,45.6927478614,45.8294942101,44.3163561518
XMR,2019-01-24,45.4569251228,44.5822288555,46.1079593883,44.2929569197
XMR,2019-01-25,46.2076532565,45.2377183871,46.2926823105,44.3371639103
XMR,2019-01-26,45.1756562527,46.2078200332,46.2308841031,44.7829190906
XMR,2019-01-27,45.6569805447,45.1756568043,45.8323793344,44.4132636695
XMR,2019-01-28,42.8907587283,45.6570226761,46.0942643477,42.4065080485
XMR,2019-01-29,42.6282545791,42.9667008034,43.4937125381,42.0302381834
XMR,2019-01-30,42.9543567148,42.6283946374,43.8542593126,42.0950904408
XMR,2019-01-31,42.6091903964,43.124289521,43.5267225476,42.0261904179
XMR,2019-02-01,42.8828087742,42.6017591899,43.163187129,41.503095665
